,Date,Date,Date,Calories/100g
136011101.0,104,2018-04-29,2021-04-25,50614.0
136012101.0,143,2018-04-29,2021-04-25,110969.0
136014101.0,122,2018-04-29,2021-04-25,107611.0
136016101.0,144,2018-04-29,2021-04-25,226588.0
136048101.0,99,2018-04-29,2021-04-25,60066.0
136051101.0,114,2018-04-29,2021-03-28,319694.0
136059101.0,114,2018-05-06,2021-04-18,91682.0
136066101.0,140,2018-04-29,2021-04-11,178177.0
136068101.0,140,2018-04-29,2021-04-25,97716.0
136071101.0,15,2018-04-29,2018-08-12,14614.0
136072101.0,79,2018-04-29,2021-04-25,83072.0
136073101.0,35,2018-04-29,2020-09-06,73613.0
136076101.0,155,2018-04-29,2021-04-25,295940.0
136078101.0,144,2018-04-29,2021-04-25,185214.0
136084101.0,116,2018-04-29,2021-04-18,41579.0
136089101.0,84,2018-04-29,2021-04-18,111958.0
137002101.0,154,2018-04-29,2021-04-25,228001.0
137006101.0,62,2018-05-06,2021-04-25,71589.0
137008101.0,141,2018-04-29,2021-04-25,312442.0
137014101.0,113,2018-04-29,2021-04-25,180074.0
137018101.0,149,2018-04-29,2021-04-25,78393.0
137025101.0,57,2018-04-29,2020-09-13,118799.0
137027101.0,135,2018-04-29,2021-04-25,107050.0
137029101.0,104,2018-04-29,2021-04-25,125299.0
137033101.0,69,2018-04-29,2021-04-25,117537.0
137034101.0,61,2018-07-01,2021-04-25,70940.0
137036101.0,151,2018-04-29,2021-04-25,132469.0
137040101.0,130,2018-04-29,2021-04-18,44753.0
137059101.0,33,2018-07-15,2019-12-08,45425.0
138001101.0,79,2018-04-29,2021-04-25,75982.0
138007101.0,115,2018-05-06,2021-04-25,12254.0
138008101.0,146,2018-04-29,2021-04-25,95958.0
138009103.0,88,2018-04-29,2020-02-23,97833.0
138014101.0,152,2018-04-29,2021-04-25,180236.0
138015101.0,142,2018-06-03,2021-04-25,156056.0
138017101.0,115,2018-05-13,2021-04-25,92274.0
138020101.0,142,2018-04-29,2021-04-18,38037.0
138030103.0,145,2018-04-29,2021-04-18,152201.0
138034101.0,141,2018-04-29,2021-04-25,117090.0
138039101.0,147,2018-04-29,2021-04-25,157438.0
138040101.0,112,2018-04-29,2021-03-21,99328.0
138045101.0,102,2018-04-29,2021-04-25,102422.0
138051101.0,104,2018-04-29,2021-04-25,322790.0
138053101.0,116,2018-04-29,2021-04-25,36996.0
138054101.0,145,2018-04-29,2021-04-25,179004.0
138056101.0,149,2018-04-29,2021-04-25,135032.0
138057101.0,72,2018-05-06,2019-09-29,171386.0
138060101.0,153,2018-04-29,2021-04-25,199896.0
138065101.0,117,2018-04-29,2021-04-25,122393.0
138067101.0,109,2018-04-29,2021-04-25,33609.0
139001103.0,141,2018-05-13,2021-04-25,219702.0
139003101.0,135,2018-04-29,2021-04-25,43005.0
139007101.0,147,2018-05-06,2021-04-25,217814.0
139013101.0,108,2018-04-29,2021-04-11,134779.0
139014101.0,151,2018-04-29,2021-04-25,173157.0
139015101.0,26,2018-05-06,2019-07-14,18720.0
139016101.0,135,2018-04-29,2021-04-25,163101.0
139020101.0,128,2018-04-29,2021-04-25,156349.0
139024101.0,142,2018-04-29,2021-04-25,112559.0
139037101.0,138,2018-04-29,2021-04-25,96163.0
139039101.0,68,2018-06-03,2021-04-11,87363.0
139051101.0,26,2018-04-29,2019-04-14,42652.0
140009101.0,149,2018-04-29,2021-04-25,71650.0
140011101.0,111,2018-04-29,2021-04-25,121423.0
140021101.0,82,2018-05-06,2021-04-25,102835.0
140023101.0,115,2018-04-29,2021-04-25,260620.0
141001111.0,56,2018-05-13,2021-02-28,113934.0
141014101.0,124,2018-04-29,2021-04-11,213500.0
141019101.0,117,2018-05-06,2021-04-25,292959.0
142002101.0,156,2018-04-29,2021-04-25,356565.0
142003112.0,115,2018-04-29,2021-04-18,108018.0
142021102.0,18,2018-04-29,2019-03-17,12062.0
142031101.0,148,2018-04-29,2021-04-25,149368.0
142042101.0,48,2018-05-27,2021-03-21,122193.0
142048101.0,143,2018-04-29,2021-04-25,69745.0
142049101.0,156,2018-04-29,2021-04-25,424522.0
142051101.0,99,2018-04-29,2021-04-25,50859.0
142052101.0,28,2018-04-29,2019-06-09,16090.0
142054101.0,141,2018-04-29,2021-04-25,187644.0
152008101.0,123,2018-04-29,2021-04-18,157772.0
152009102.0,95,2018-04-29,2020-10-04,152966.0
152010101.0,13,2018-04-29,2018-08-12,8135.0
152015101.0,95,2018-05-06,2021-04-25,156744.0
152023101.0,155,2018-04-29,2021-04-25,364480.0
152046101.0,144,2018-05-13,2021-04-25,187320.0
152048101.0,47,2018-05-06,2019-12-22,43135.0
152071101.0,76,2018-04-29,2020-03-22,25249.0
152074101.0,127,2018-04-29,2021-04-25,349683.0
152077101.0,72,2018-05-06,2021-04-25,95495.0
152079101.0,147,2018-04-29,2021-04-25,228297.0
153015101.0,155,2018-04-29,2021-04-25,365255.0
156005101.0,130,2018-04-29,2021-04-18,145564.0
156009101.0,154,2018-04-29,2021-04-25,100366.0
156011101.0,95,2018-04-29,2021-04-25,39675.0
156015101.0,154,2018-04-29,2021-04-18,207083.0
156027101.0,141,2018-04-29,2021-04-25,286664.0
156040101.0,139,2018-04-29,2021-04-25,232019.0
156046101.0,137,2018-04-29,2021-04-25,131188.0
156049101.0,91,2018-04-29,2021-04-25,34893.0
156051101.0,129,2018-05-13,2021-04-25,122267.0
156053101.0,118,2018-04-29,2021-04-18,251629.0
156055101.0,70,2018-04-29,2021-04-25,27748.0
156056101.0,155,2018-04-29,2021-04-25,202882.0
156057101.0,156,2018-04-29,2021-04-25,227144.0
156068101.0,129,2018-04-29,2021-04-25,113074.0
156071101.0,64,2018-05-27,2021-04-25,149298.0
156076101.0,133,2018-04-29,2021-04-25,178455.0
156078101.0,141,2018-04-29,2021-04-25,245118.0
156079101.0,92,2018-04-29,2020-11-08,73870.0
156081101.0,136,2018-04-29,2021-04-25,136390.0
156084101.0,145,2018-04-29,2021-04-25,143465.0
156091101.0,42,2018-04-29,2021-04-11,35524.0
156092101.0,87,2018-04-29,2020-03-15,125026.0
156097101.0,57,2018-04-29,2021-03-21,38045.0
156098101.0,107,2018-04-29,2021-04-25,102181.0
156104101.0,135,2018-04-29,2021-04-25,115579.0
156105101.0,156,2018-04-29,2021-04-25,134330.0
156107101.0,148,2018-04-29,2021-04-25,105278.0
156110101.0,64,2018-06-24,2021-03-28,51043.0
156111101.0,43,2018-04-29,2019-04-07,57115.0
156118101.0,68,2018-04-29,2021-03-21,44647.0
156119101.0,155,2018-04-29,2021-04-25,330013.0
156120101.0,120,2018-04-29,2021-04-18,141352.0
156123101.0,142,2018-05-13,2021-04-25,89047.0
156127101.0,28,2018-04-29,2020-02-23,13067.0
156131101.0,140,2018-04-29,2021-04-25,217512.0
156138101.0,97,2018-04-29,2021-04-25,301288.0
156151101.0,53,2018-04-29,2021-03-28,56837.0
156159101.0,84,2018-05-27,2021-04-25,97037.0
157002101.0,92,2018-05-20,2021-04-18,133642.0
157003101.0,149,2018-04-29,2021-04-25,216159.0
157004101.0,132,2018-04-29,2021-04-25,105637.0
157013101.0,113,2018-04-29,2021-04-25,105870.0
157023101.0,147,2018-04-29,2021-04-25,81384.0
157024101.0,62,2018-04-29,2019-10-27,101216.0
157026101.0,143,2018-04-29,2021-04-25,200161.0
157034101.0,134,2018-04-29,2021-04-25,95276.0
157036101.0,84,2018-05-06,2021-04-18,66547.0
157038101.0,143,2018-05-06,2021-04-25,268587.0
157043101.0,132,2018-04-29,2021-04-18,155309.0
157044102.0,112,2018-04-29,2021-04-25,78658.0
157051101.0,154,2018-04-29,2021-04-25,96027.0
157057101.0,138,2018-04-29,2021-04-25,71516.0
157059101.0,28,2018-04-29,2020-09-13,16180.0
157065101.0,145,2018-04-29,2021-04-25,91104.0
157068101.0,19,2018-05-13,2019-05-19,14731.0
157071101.0,72,2018-04-29,2021-03-28,66321.0
157072104.0,136,2018-04-29,2021-04-25,78332.0
157076101.0,102,2018-05-06,2021-04-18,113723.0
157086101.0,147,2018-04-29,2021-04-25,204222.0
157091102.0,155,2018-04-29,2021-04-25,453571.0
157092101.0,120,2018-04-29,2021-04-18,145411.0
157097101.0,153,2018-04-29,2021-04-25,333527.0
157099101.0,106,2018-05-13,2021-02-21,129732.0
157102101.0,84,2018-04-29,2021-04-18,119833.0
157110101.0,136,2018-04-29,2021-04-18,184824.0
157111101.0,150,2018-04-29,2021-04-25,194787.0
157112101.0,137,2018-04-29,2021-04-25,197646.0
157113101.0,104,2018-05-06,2021-04-25,70260.0
157114101.0,61,2018-04-29,2021-03-28,37528.0
157115101.0,155,2018-04-29,2021-04-25,290524.0
157117101.0,154,2018-04-29,2021-04-25,134529.0
157121101.0,98,2018-04-29,2021-04-25,44361.0
157124101.0,130,2018-04-29,2021-04-25,289163.0
157126101.0,142,2018-04-29,2021-04-25,76242.0
157128101.0,152,2018-04-29,2021-04-25,156472.0
157150101.0,12,2018-04-29,2018-09-23,11169.0
158001101.0,90,2018-04-29,2021-03-28,101335.0
158007101.0,152,2018-04-29,2021-04-25,109317.0
158009101.0,152,2018-04-29,2021-04-25,117808.0
158010101.0,138,2018-05-06,2021-04-25,79216.0
158014101.0,56,2018-05-06,2021-04-18,61626.0
158018101.0,12,2018-07-22,2021-01-03,23284.0
158020101.0,147,2018-04-29,2021-04-25,196165.0
158023101.0,150,2018-04-29,2021-04-25,491869.0
158024101.0,84,2018-04-29,2020-08-16,49549.0
158025101.0,94,2018-04-29,2020-07-05,77487.0
158028102.0,150,2018-04-29,2021-04-25,235861.0
159014101.0,148,2018-04-29,2021-04-25,103586.0
159015102.0,112,2018-05-06,2021-04-11,363466.0
159018101.0,11,2018-05-27,2018-09-02,7063.0
159026101.0,40,2018-04-29,2019-07-07,45750.0
159027102.0,7,2018-04-29,2018-12-23,4305.0
159029102.0,45,2018-04-29,2019-07-14,33598.0
160001101.0,74,2018-04-29,2019-12-01,78601.0
160005101.0,4,2018-04-29,2018-05-20,6713.0
160012101.0,142,2018-04-29,2021-04-25,145114.0
160015101.0,149,2018-04-29,2021-04-18,315918.0
160016101.0,78,2018-05-27,2021-01-31,94010.0
160020101.0,75,2018-04-29,2020-12-06,74826.0
160023101.0,144,2018-04-29,2021-04-25,217582.0
161001101.0,122,2018-04-29,2021-04-25,158994.0
161012101.0,87,2018-05-06,2021-04-18,177660.0
161034101.0,138,2018-04-29,2021-04-25,104943.0
161035101.0,151,2018-04-29,2021-04-18,169247.0
161037101.0,120,2018-04-29,2021-04-25,104448.0
161040101.0,66,2018-04-29,2020-12-06,37117.0
162001101.0,73,2018-04-29,2021-03-28,77905.0
162009101.0,137,2018-04-29,2021-04-25,290409.0
162011102.0,38,2018-05-27,2021-04-25,20324.0
164002101.0,135,2018-04-29,2021-04-25,144731.0
164006101.0,137,2018-05-06,2021-04-18,132263.0
165007101.0,120,2018-04-29,2021-03-28,116698.0
166002101.0,9,2018-06-24,2018-12-30,10421.0
166005101.0,73,2018-04-29,2021-03-28,193914.0
166010101.0,77,2018-05-27,2021-04-25,49263.0
166014101.0,68,2018-05-13,2020-01-26,41904.0
166015101.0,155,2018-04-29,2021-04-25,194569.0
168003101.0,148,2018-04-29,2021-04-25,164527.0
168007101.0,132,2018-05-06,2021-04-25,95394.0
168010101.0,156,2018-04-29,2021-04-25,190829.0
169009101.0,155,2018-04-29,2021-04-25,728691.0
169010101.0,156,2018-04-29,2021-04-25,422116.0
169015101.0,66,2018-05-27,2021-04-18,70791.0
170015101.0,110,2018-04-29,2021-04-25,261447.0
171009101.0,91,2018-04-29,2021-04-25,138639.0
171014101.0,117,2018-04-29,2021-04-25,107573.0
174003101.0,63,2018-05-06,2021-04-25,23299.0
174009101.0,104,2018-04-29,2021-04-18,120942.0
174016101.0,144,2018-04-29,2021-04-25,174079.0
174029101.0,156,2018-04-29,2021-04-25,510354.0
174039106.0,151,2018-04-29,2021-04-25,169824.0
174041101.0,144,2018-04-29,2021-04-18,174084.0
174042101.0,46,2018-04-29,2020-02-23,22431.0
174043101.0,120,2018-04-29,2021-04-25,104695.0
174063102.0,26,2018-06-10,2020-03-15,38802.0
174085103.0,130,2018-04-29,2021-04-25,201381.0
174093101.0,12,2018-04-29,2019-01-27,11868.0
174103101.0,106,2018-05-13,2021-03-28,136389.0
174105101.0,24,2018-04-29,2019-04-21,27606.0
174110101.0,139,2018-04-29,2021-04-25,122810.0
174113101.0,124,2018-04-29,2021-04-25,92428.0
174114101.0,72,2018-04-29,2021-02-21,71330.0
174120101.0,119,2018-04-29,2021-04-18,171954.0
174121101.0,11,2018-04-29,2018-11-04,4603.0
174130101.0,10,2018-04-29,2018-09-02,7885.0
174131101.0,116,2018-05-13,2021-04-25,72241.0
174132101.0,60,2018-04-29,2021-01-17,31626.0
174136101.0,148,2018-04-29,2021-04-25,143495.0
174140101.0,138,2018-04-29,2021-04-18,71780.0
174142101.0,153,2018-04-29,2021-04-25,318985.0
174148101.0,143,2018-04-29,2021-04-25,311696.0
174149101.0,66,2018-04-29,2019-08-11,45903.0
174151101.0,67,2018-04-29,2019-10-06,26557.0
174154101.0,155,2018-04-29,2021-04-25,293135.0
174159102.0,142,2018-04-29,2021-04-18,133107.0
174163101.0,124,2018-04-29,2021-04-25,172972.0
174164101.0,136,2018-04-29,2021-04-25,64662.0
174170101.0,79,2018-04-29,2020-01-12,75980.0
174171101.0,137,2018-04-29,2021-04-25,196157.0
174180101.0,93,2018-04-29,2021-04-25,51650.0
174181101.0,49,2018-05-06,2021-04-25,61130.0
174183101.0,144,2018-04-29,2021-04-25,81751.0
174188101.0,118,2018-04-29,2021-03-28,90992.0
174209101.0,92,2018-04-29,2021-04-25,91896.0
174219101.0,16,2019-03-03,2021-02-07,29008.0
174221101.0,136,2018-04-29,2021-04-25,367965.0
174224101.0,24,2018-04-29,2018-10-28,18082.0
174226101.0,54,2018-07-22,2021-02-07,17727.0
174227101.0,72,2018-04-29,2021-04-25,26085.0
174233101.0,25,2018-04-29,2019-02-24,55154.0
174242101.0,155,2018-04-29,2021-04-25,207027.0
174245101.0,24,2018-04-29,2019-10-06,8152.0
182003101.0,152,2018-04-29,2021-04-25,459533.0
182011101.0,149,2018-04-29,2021-04-25,340103.0
182014101.0,142,2018-04-29,2021-04-25,130518.0
182019101.0,102,2018-04-29,2021-04-25,115407.0
182021101.0,147,2018-04-29,2021-04-25,260810.0
183004101.0,134,2018-04-29,2021-04-25,75132.0
183010101.0,43,2018-04-29,2021-03-28,89785.0
184006106.0,139,2018-04-29,2021-04-11,138449.0
184011105.0,142,2018-04-29,2021-04-18,272612.0
184019101.0,27,2018-06-24,2020-08-09,34624.0
184021101.0,141,2018-04-29,2021-04-25,225672.0
184026101.0,125,2018-04-29,2021-04-25,225079.0
184028101.0,152,2018-04-29,2021-04-25,333038.0
184033101.0,58,2018-04-29,2020-09-06,68791.0
184035101.0,46,2018-04-29,2020-02-16,37798.0
184036101.0,98,2018-04-29,2021-04-25,54132.0
184038101.0,85,2018-04-29,2020-03-08,85713.0
184040101.0,152,2018-04-29,2021-04-25,219262.0
185008101.0,131,2018-04-29,2020-11-08,351742.0
185026101.0,93,2018-04-29,2021-04-25,88127.0
185028101.0,60,2018-04-29,2019-10-06,86209.0
186009103.0,151,2018-04-29,2021-04-25,110245.0
186015101.0,54,2018-04-29,2020-10-04,88150.0
186018103.0,85,2018-05-06,2021-04-25,78881.0
186019101.0,20,2018-04-29,2018-09-09,26051.0
186025101.0,120,2018-04-29,2021-04-25,176142.0
187011101.0,127,2018-04-29,2021-04-18,122993.0
187021101.0,90,2018-05-13,2021-04-25,127324.0
187029101.0,134,2018-04-29,2021-03-28,399360.0
187038101.0,22,2018-04-29,2018-12-02,23743.0
187043101.0,136,2018-04-29,2021-04-25,103908.0
187047101.0,89,2018-04-29,2021-04-18,100997.0
187048101.0,30,2018-05-06,2018-12-30,27958.0
187090401.0,21,2018-04-29,2019-04-14,26917.0
188001101.0,108,2018-04-29,2021-01-31,173407.0
189003101.0,75,2018-05-27,2021-03-21,74957.0
189025101.0,131,2018-04-29,2021-04-25,97482.0
189027102.0,29,2018-04-29,2019-10-06,20825.0
189029101.0,132,2018-04-29,2021-04-25,229859.0
189036101.0,153,2018-04-29,2021-04-25,264316.0
189041101.0,4,2018-04-29,2018-05-20,1113.0
189067101.0,126,2018-04-29,2021-04-25,150588.0
189071101.0,135,2018-04-29,2021-04-25,264545.0
189075101.0,122,2018-04-29,2021-01-31,50718.0
189080101.0,106,2018-04-29,2021-04-25,135535.0
189083101.0,154,2018-04-29,2021-04-25,291680.0
201007101.0,21,2018-06-03,2020-02-16,25384.0
201009101.0,55,2018-04-29,2019-09-29,84261.0
201019101.0,49,2018-10-14,2020-11-01,58994.0
201024101.0,13,2018-04-29,2018-08-12,18835.0
201047101.0,4,2018-05-06,2018-06-10,2876.0
201067101.0,96,2018-04-29,2021-04-25,184854.0
201074101.0,4,2018-04-29,2018-09-02,1064.0
201075101.0,84,2018-06-10,2021-04-11,39906.0
201078101.0,103,2018-04-29,2020-05-10,151790.0
